Places We Have Been,Cuisine,Blurb Review,Notes,Food,Ambience,Price,Vegetarian Friendly,Overall Rating
Titaya's,Thai,best Thai food I have ever eaten super long wait though,doesn't split check for 3+ people,godly,"sit down, quite nice inside",$$$,4,thai that goes the extra mile
Arlo's,Burgers,"Bac'n Cheeze Burger or bust, get the tots (enough for 2 people to share) ",next to spider house,poppin',food truck outside a bar,$$,5,vegan with a crunch
Bouldin Creek Cafe,American,"get the tofu scramble even if you're not vegan, its crispy!","near ""welcome to austin"" mural",poppin',"sit down, hipster decor/vibe",$$$,5,screams austin 
Homeslice,Pizza,"yum, go next door to the takeout counter (called more homeslice). so worth",,poppin',outdoor tables near more HS ,$,4,a love of pizza is upheld 
Pinthouse Pizza,Pizza,"absolutely delish, good variety of pizza, laid out like a bar thingy",can sub meat off all pizzas,godly,"order upfront, pretty crowded, sit in little benches.",$$$,4,pear on pizza? never goes wrong
Verdes,Mexican,"Worst Tex-Mex I've had, refried beans from a can without heating, circle enchiladas??",,blegh,"sat in like a tarp tent, felt v weird",$$,3,how can you make refried beans wrong
Trudy's,Tex-Mex,very average tex-mex. i'd rather have chuy's ,stuffed avocado is the fave,meh,"sit down, smells weird inside",$$,3,
Sushi Nichii,Japanese,"good veggie sushi, not just a boring vegetables rolled up",get a don dish to be full,p good,"sit down, small location. west campus gem",$$,4,
Rushi's Apartment,Indian ,Great! An Austin MUST HAVE,(our friend's apt - for memes),godly,in the texan tower (shh!),FREE,5,
Hopdoddy's,Burgers,"Veggie burger was ok, falls apart and pricy for portion, truffle fries were really good",can put veggie patty on all,aight,"order upfront and served to you, basic burger vibe ",$$$,3,
Blue Dahlia Bistro,Brunch,"Aight - average waffle, liked the open face sandwich",cute places to take pics nearby,p good,"sit down, busy busy brunch spot, very austin, near some cute pic spots",$$$,3,c'est tres mignon
Mi Madres,Mexican,V good migas and salsa and the cafe de holla was good,,p good,nice and homey,$,3,
Gus World Famous Fried Chicken,Chicken,"very good chicken with good spices, real good southern comfort",,p good,"felt like a bar, lots of South memorabilia (nothing bad)",$$,1,chicken chicken deluxe
Ramen Tatsuya,Ramen,Never really had ramen before but was really rich and good. good brussel sprouts ,,p good,very long tables open seating japanese decor,$$,2,leaves packet ramen in the dust
Don,Japanese,"crisp tofu, good chicken don, and good veggies, and cheap! ",add veggies to tofu don for $3,p good,"very hard to get a seat inside, order at a counter",$,4,classic college place
Burrito Factory,Mexican,"amazing food, good spices and spice. really fresh, torta is a treasure",inside dobie! spicy salsa v spicy,godly,"fast casual, mall style ordering",$,4,dobie's hidden gem/a fresher taco bell
Chilantro,Fusion,"great unique savory taste, but same proteins/veggies between new carbs",kimchi fries are classique,p good,"food truck comes to campus, but brick and mortar is a order at counter",$,3,
Taco Deli ,Tacos,"good, worth a try. i prefer torchy's, probably. salsas are the bomb diggity",,p good,"order at counter, loud on mornings",$,4,
